Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1973,-,-,-,-,-,-,-,-,-,-,-
1974,-,-,-,-,-,-,-,-,-,-,-
1975,-,-,-,-,-,-,-,-,-,-,-
1976,-,-,-,-,-,-,-,-,-,-,-
1977,-,-,-,-,-,-,-,-,-,-,-
1978,23.2,28.8,19.0,-,8.9,89,0,14,7,0,0
1979,23.6,29.3,19.3,1029.76,7.8,83,1,31,2,0,0
1980,23.6,29.6,19.0,913.44,7.2,72,1,28,5,0,0
1981,23.4,29.3,18.9,646.44,6.5,86,2,26,2,1,3
1982,-,-,-,-,-,-,-,-,-,-,-
1983,24.1,29.9,19.4,1111.29,6.8,99,0,26,4,0,0
1984,23.4,29.0,18.9,713.98,7.9,104,0,28,4,0,0
1985,23.5,29.5,18.9,617.99,7.6,99,0,22,3,0,2
1986,23.7,29.5,19.1,1472.93,7.5,103,0,32,4,0,1
1987,23.8,29.5,19.2,884.86,7.5,103,1,29,6,0,0
1988,23.7,29.3,19.1,935.16,6.3,91,0,31,2,0,1
1989,23.5,29.3,18.8,895.31,6.4,88,0,30,4,0,2
1990,-,-,-,-,-,-,-,-,-,-,-
1991,23.6,29.1,19.2,1542.55,7.2,107,0,39,2,1,1
1992,-,-,-,-,-,-,-,-,-,-,-
1993,23.6,29.3,19.0,922.77,6.0,90,0,33,1,0,1
1994,23.4,29.1,19.1,876.23,5.8,99,0,21,10,0,2
1995,23.9,29.5,19.2,1066.76,5.3,101,1,25,1,0,1
1996,23.6,29.6,19.0,1286.74,5.7,109,0,29,2,0,0
1997,23.7,29.7,19.5,1227.05,6.5,105,0,21,0,0,3
1998,24.3,30.1,20.0,1327.62,4.7,106,0,27,2,1,3
1999,23.6,29.5,19.0,917.42,4.9,107,0,33,0,0,3
2000,23.4,29.4,19.1,1173.98,6.0,120,0,33,3,0,2
2001,23.8,29.6,19.5,1032.02,6.1,110,0,27,0,0,3
2002,-,-,-,-,-,-,-,-,-,-,-
2003,24.2,30.4,19.6,753.60,5.9,93,6,18,0,0,4
2004,23.4,29.5,19.0,1109.69,7.0,131,0,32,0,0,1
2005,-,-,-,-,-,-,-,-,-,-,-
2006,23.8,29.9,19.2,-,6.5,105,1,26,0,0,0
2007,23.8,29.8,19.3,-,6.0,112,0,24,1,0,1
2008,23.5,29.5,19.2,1253.45,5.8,142,0,45,0,0,2
2009,24.0,29.8,19.5,-,5.0,113,0,36,0,0,3
2010,24.1,29.7,20.0,1044.43,4.6,143,0,39,0,0,1
2011,23.5,30.1,19.1,1159.30,5.5,134,0,28,0,0,0
2012,24.2,30.9,19.5,716.81,5.9,89,0,17,0,0,3
2013,23.9,30.4,19.6,1069.61,4.5,128,1,24,2,0,3
2014,24.2,30.6,19.8,-,4.1,120,0,23,0,0,0
2015,23.9,30.3,19.6,1298.97,3.3,136,0,27,0,0,3
2016,24.4,30.7,19.9,-,3.5,117,1,12,3,0,2
2017,-,-,-,-,-,-,-,-,-,-,-
