Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1957,-,-,-,-,-,-,-,-,-,-,-
1958,-,-,-,-,-,-,-,-,-,-,-
1959,-,-,-,-,-,-,-,-,-,-,-
1960,-,-,-,-,-,-,-,-,-,-,-
1961,-,-,-,-,-,-,-,-,-,-,-
1962,27.3,30.9,23.7,-,10.5,72,0,31,5,0,0
1973,-,-,-,-,-,-,-,-,-,-,-
1974,-,-,-,-,-,-,-,-,-,-,-
1975,-,-,-,-,-,-,-,-,-,-,-
1976,-,-,-,-,-,-,-,-,-,-,-
1977,28.3,32.9,24.5,-,-,99,2,34,1,0,3
1978,28.2,33.0,24.6,-,9.6,113,0,33,6,0,1
1979,28.5,33.3,24.7,1104.65,8.7,101,1,35,0,0,1
1980,28.4,33.5,24.4,1338.34,8.3,95,0,28,2,0,1
1981,28.0,32.8,24.1,1415.06,8.9,104,0,26,1,0,1
1982,28.2,33.2,24.4,580.16,8.6,71,0,21,6,0,0
1983,28.3,33.4,24.3,1395.23,9.6,105,0,37,0,0,1
1984,28.0,32.9,24.4,1504.20,8.7,113,0,24,5,0,0
1985,28.0,32.9,24.2,2065.07,8.9,101,0,39,1,0,0
1986,28.4,33.3,24.7,979.62,9.7,95,0,22,3,0,0
1987,28.5,33.4,24.7,1151.33,9.7,92,1,29,1,0,0
1988,28.3,33.2,24.6,1126.69,7.8,77,0,27,2,0,0
1989,27.9,33.1,24.0,1300.23,7.1,99,1,26,0,0,0
1990,28.2,33.2,24.5,1296.40,8.0,129,0,31,2,1,0
1991,28.3,33.3,24.6,1232.63,8.8,92,0,29,5,0,0
1992,28.0,33.5,24.1,1122.37,9.2,83,0,30,6,0,0
1993,28.0,33.3,24.0,1788.67,8.7,99,0,22,3,0,1
1994,28.1,33.4,24.3,1557.53,7.6,88,0,21,2,0,4
1995,28.1,33.1,24.3,1547.58,7.1,90,0,33,3,0,3
1996,28.1,33.2,24.1,1947.61,10.3,105,0,52,7,1,6
1997,28.5,33.9,24.5,1607.28,9.5,132,1,40,10,0,1
1998,28.9,34.1,25.0,1151.05,10.1,105,1,28,3,0,1
1999,28.5,33.7,24.2,-,9.9,104,1,35,17,0,0
2000,28.3,33.6,24.2,-,9.3,116,0,27,12,0,0
2001,28.5,34.0,24.5,-,11.0,118,0,28,9,0,0
2002,-,-,-,-,-,-,-,-,-,-,-
2003,28.6,33.9,24.3,887.98,9.3,105,0,25,4,0,1
2004,28.1,33.5,23.9,1505.71,9.8,117,0,29,5,0,3
2005,-,-,-,-,-,-,-,-,-,-,-
2006,28.3,33.9,24.3,-,9.4,121,0,46,8,0,3
2007,27.8,33.4,24.1,-,6.8,125,0,46,15,0,2
2008,27.9,33.7,24.1,-,7.1,123,0,42,5,0,0
2009,29.1,34.5,24.7,-,8.4,111,0,44,6,0,1
2010,28.3,33.5,24.5,-,10.5,138,0,53,6,0,3
2011,28.3,34.4,23.9,-,10.9,125,0,65,4,0,4
2012,28.8,35.0,24.3,-,11.0,98,0,54,8,0,0
2013,28.3,34.1,24.1,-,10.8,125,0,59,11,0,0
2014,28.6,34.2,24.4,-,11.0,116,0,42,7,0,2
2015,28.9,34.3,24.1,-,10.6,142,0,75,9,0,2
2016,29.1,34.5,24.2,-,9.6,98,0,46,0,0,0
2017,-,-,-,-,-,-,-,-,-,-,-
