Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1942,-,-,-,-,-,-,-,-,-,-,-
1943,25.5,31.6,18.5,-,12.5,56,0,17,18,0,0
1944,24.4,31.6,17.8,-,11.1,76,0,36,16,0,1
1945,24.3,31.7,17.6,-,12.2,80,0,26,34,0,0
1946,-,-,-,-,-,-,-,-,-,-,-
1957,-,-,-,-,-,-,-,-,-,-,-
1958,24.4,31.1,19.5,746.77,9.8,70,0,23,11,0,1
1959,-,-,-,-,-,-,-,-,-,-,-
1960,-,-,-,-,-,-,-,-,-,-,-
1961,-,-,-,-,-,-,-,-,-,-,-
1962,24.5,29.7,18.6,519.64,8.7,44,0,21,14,0,0
1973,25.2,31.6,19.2,-,8.0,66,1,28,18,0,1
1974,25.3,31.7,18.9,429.82,7.8,44,0,30,10,1,1
1975,24.6,30.4,18.8,-,7.0,76,1,32,17,0,2
1976,24.8,30.7,19.1,-,-,64,0,28,12,0,0
1977,24.8,30.7,19.1,-,7.1,81,1,35,10,0,1
1978,24.6,30.8,19.1,911.11,7.2,75,0,28,21,0,1
1979,25.1,31.5,19.0,442.48,7.9,53,0,34,15,0,0
1980,25.2,31.5,19.1,600.73,7.3,61,0,39,18,0,0
1981,25.0,31.2,19.1,582.94,7.4,64,0,32,19,0,0
1982,24.4,30.5,18.7,761.52,7.7,80,0,46,17,0,0
1983,23.9,30.1,18.3,787.17,6.1,81,0,51,21,0,2
1984,24.7,31.5,18.7,660.13,7.1,41,0,35,14,0,1
1985,25.0,31.5,19.2,762.99,6.7,64,0,48,18,0,0
1986,24.5,31.0,18.6,465.06,5.6,53,0,33,30,0,1
1987,25.7,32.6,19.6,371.60,4.4,43,0,40,49,0,0
1988,25.1,31.8,19.4,985.22,2.8,62,0,35,25,0,0
1989,24.4,31.1,18.5,359.12,5.0,56,0,21,22,0,1
1990,-,-,-,-,-,-,-,-,-,-,-
1991,24.8,31.3,19.0,715.26,-,51,0,22,21,0,1
1992,-,-,-,-,-,-,-,-,-,-,-
1993,24.8,31.5,18.9,876.04,5.0,59,0,24,37,0,1
1994,24.7,31.4,18.7,1066.78,4.9,53,0,23,49,0,2
1995,25.0,31.3,19.2,1022.37,5.3,58,0,23,40,0,0
1996,24.3,31.1,18.5,1103.12,5.8,70,0,22,57,0,1
1997,23.6,29.6,18.1,582.92,5.3,76,0,30,97,0,0
1998,24.7,30.9,19.2,857.03,4.3,61,0,23,55,0,0
1999,25.0,31.8,19.2,406.62,5.1,45,0,22,72,0,0
2000,24.8,31.4,19.0,700.50,5.2,60,0,31,47,0,4
2001,24.5,31.5,18.8,581.41,5.2,62,0,39,55,1,0
2002,-,-,-,-,-,-,-,-,-,-,-
2003,24.4,30.9,18.9,1142.23,4.4,69,0,31,52,0,0
2004,25.2,31.8,19.3,582.70,4.6,53,0,29,52,0,2
2005,-,-,-,-,-,-,-,-,-,-,-
2006,25.4,32.3,18.9,674.89,5.0,55,0,21,71,0,1
2007,24.8,31.7,19.1,-,5.0,62,0,26,73,1,0
2008,24.6,31.5,18.8,869.68,5.2,72,0,30,35,0,0
2009,25.4,32.5,19.5,596.61,5.2,46,0,30,48,0,1
2010,25.6,32.1,20.1,-,4.8,74,0,36,53,0,0
2011,24.7,31.7,19.1,-,6.1,54,0,23,46,0,1
2012,24.9,32.0,19.2,605.55,7.3,55,0,24,45,0,1
2013,24.9,31.8,19.0,1085.36,6.5,52,0,21,69,0,1
2014,25.0,32.1,18.9,512.05,6.2,51,0,25,75,0,2
2015,25.3,32.1,19.3,660.88,6.3,54,0,17,74,0,1
2016,26.9,33.0,19.8,-,6.8,62,0,35,77,1,0
2017,-,-,-,-,-,-,-,-,-,-,-
