Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1943,-,-,-,-,-,-,-,-,-,-,-
1944,26.0,31.9,21.1,-,10.7,124,0,61,77,1,2
1945,25.5,31.5,20.7,-,10.6,115,0,46,65,0,0
1957,-,-,-,-,-,-,-,-,-,-,-
1958,26.4,32.0,22.3,1174.00,6.6,75,0,25,27,0,0
1959,-,-,-,-,-,-,-,-,-,-,-
1960,-,-,-,-,-,-,-,-,-,-,-
1961,-,-,-,-,-,-,-,-,-,-,-
1962,-,-,-,-,-,-,-,-,-,-,-
1973,26.4,31.7,21.5,-,8.8,137,3,67,21,1,1
1974,26.0,31.2,21.3,-,8.7,104,2,74,25,2,5
1975,25.8,31.2,21.1,-,7.4,123,2,75,49,0,1
1976,-,-,-,-,-,-,-,-,-,-,-
1977,26.3,31.3,21.6,-,6.7,115,1,63,21,1,2
1978,26.0,31.2,21.5,-,6.5,107,2,73,29,1,0
1979,26.7,32.4,21.8,1024.16,6.1,83,1,60,20,2,0
1980,26.3,31.7,21.8,2195.87,5.9,110,0,66,19,0,1
1981,25.7,31.0,21.2,1663.17,6.2,126,1,66,21,0,1
1982,26.2,31.9,21.6,1402.09,6.2,88,0,55,15,0,0
1983,26.1,31.4,21.6,1579.61,6.1,102,0,59,14,0,1
1984,25.9,31.2,21.3,2060.70,5.8,107,0,51,13,0,1
1985,26.4,31.9,21.9,1290.55,5.6,105,0,50,15,1,0
1986,-,-,-,-,-,105,1,44,11,0,0
1987,26.5,31.9,21.9,1677.64,5.9,97,0,55,13,0,1
1988,26.5,31.7,22.2,1661.61,5.0,104,0,49,21,0,0
1989,26.1,31.5,21.7,1215.61,5.3,95,0,43,18,0,0
1990,-,-,-,-,-,-,-,-,-,-,-
1991,26.3,31.4,22.1,1816.64,3.7,103,0,53,30,0,0
1992,26.1,31.6,21.7,1341.65,3.5,89,0,53,35,0,0
1993,26.1,31.4,21.5,1789.15,4.2,116,1,66,18,1,0
1994,26.2,31.7,21.8,1623.03,3.9,105,1,54,14,0,0
1995,26.3,31.8,21.8,1911.59,3.7,107,0,61,10,0,0
1996,26.3,32.2,21.4,1404.87,3.8,107,0,66,59,0,0
1997,26.0,31.6,21.2,1706.87,3.8,149,0,99,117,0,0
1998,26.5,31.8,21.9,1632.70,4.5,151,0,83,73,0,0
1999,26.5,32.2,21.6,1748.29,5.2,113,0,69,28,0,0
2000,26.4,31.9,21.6,-,4.9,132,0,82,77,0,0
2001,26.1,31.9,21.3,-,6.6,155,0,81,124,0,1
2002,-,-,-,-,-,-,-,-,-,-,-
2003,26.6,31.9,21.8,1400.50,3.8,139,0,88,43,0,1
2004,26.9,32.2,21.8,1651.78,6.2,117,0,77,68,0,0
2005,-,-,-,-,-,-,-,-,-,-,-
2006,26.6,32.4,22.1,1926.11,3.5,113,0,55,74,0,0
2007,26.3,31.9,21.9,-,3.1,104,0,50,44,0,1
2008,26.2,32.0,21.4,1657.30,5.4,147,0,79,43,0,1
2009,26.9,32.9,22.0,1522.18,5.8,113,0,78,49,0,2
2010,27.0,32.7,22.5,-,8.4,129,0,77,37,0,2
2011,26.3,32.0,21.6,-,7.5,131,0,86,53,0,0
2012,26.8,32.3,22.0,-,8.6,129,0,80,10,0,0
2013,26.3,32.1,21.7,-,8.2,148,0,95,3,0,2
2014,26.6,32.4,22.3,-,8.3,115,0,74,30,0,0
2015,27.0,32.2,22.5,-,8.3,135,0,91,31,0,1
2016,27.4,32.1,23.2,-,8.8,134,0,104,36,0,0
2017,-,-,-,-,-,-,-,-,-,-,-
