Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
1957,-,-,-,-,-,-,-,-,-,-,-
1958,26.6,31.3,23.1,1921.21,11.8,90,0,12,0,0,0
1959,-,-,-,-,-,-,-,-,-,-,-
1960,-,-,-,-,-,-,-,-,-,-,-
1961,-,-,-,-,-,-,-,-,-,-,-
1962,26.4,30.2,22.6,1716.60,10.4,92,0,9,0,0,0
1973,-,-,-,-,-,-,-,-,-,-,-
1974,26.8,31.7,22.2,-,-,104,0,32,3,0,0
1975,-,-,-,-,-,-,-,-,-,-,-
1976,-,-,-,-,-,-,-,-,-,-,-
1977,27.7,32.1,23.5,-,8.2,105,1,21,6,0,1
1978,26.9,31.3,22.8,-,8.9,114,2,13,3,0,2
1979,27.0,31.5,22.9,1562.35,8.6,86,1,19,1,0,1
1980,27.3,31.6,23.0,1638.05,8.6,98,1,10,1,0,2
1981,27.4,31.8,22.9,2323.35,9.7,95,1,15,1,0,2
1982,27.2,31.4,23.3,1835.90,8.8,89,0,10,0,0,0
1983,26.4,30.8,22.2,2668.22,6.9,96,0,25,1,0,1
1984,27.1,31.6,22.7,1850.62,8.1,89,0,14,0,0,0
1985,27.0,31.7,22.4,2863.58,8.3,97,0,13,0,0,0
1986,27.1,32.1,22.7,1188.68,7.6,80,0,11,0,0,1
1987,27.8,32.6,23.2,1913.37,6.7,98,0,19,0,0,2
1988,27.2,32.0,22.9,2589.04,-,106,0,21,1,0,0
1989,27.0,32.0,22.5,2091.70,7.2,97,0,21,1,0,0
1990,27.1,31.8,22.7,2599.62,7.2,117,0,12,0,0,1
1991,26.9,31.8,22.4,2242.82,7.3,93,0,10,1,0,1
1992,27.1,32.0,22.7,1915.70,7.1,80,0,9,0,0,0
1993,27.2,31.8,23.0,2417.53,7.0,107,0,16,1,0,0
1994,26.9,31.8,22.5,2518.14,7.1,105,0,9,1,0,0
1995,27.3,32.4,22.7,1731.45,6.4,83,0,18,0,0,1
1996,27.6,32.3,22.6,2120.64,7.6,118,0,16,1,0,0
1997,27.7,32.3,22.4,1849.64,7.5,108,0,13,7,0,0
1998,27.8,32.5,23.2,2521.41,6.2,120,0,30,14,0,0
1999,27.7,32.4,22.7,1731.74,6.5,126,0,21,4,0,0
2000,27.6,32.4,22.4,2310.89,8.2,108,0,24,4,0,2
2001,27.3,32.5,22.6,1912.58,10.0,113,0,17,3,0,2
2002,-,-,-,-,-,90,0,6,1,0,0
2003,27.5,32.8,22.9,2271.73,9.6,106,0,11,0,0,0
2004,27.0,32.7,22.3,2146.60,8.6,112,0,12,1,1,1
2005,-,-,-,-,-,-,-,-,-,-,-
2006,27.4,32.5,22.6,3076.97,8.9,116,0,23,0,0,5
2007,28.0,32.6,23.2,2472.42,9.5,105,0,20,1,0,2
2008,27.8,32.2,22.2,2720.58,10.0,106,1,21,3,0,2
2009,28.3,32.8,23.2,2261.65,11.4,106,0,15,1,0,1
2010,28.2,32.4,23.3,3388.63,10.3,131,0,45,0,0,1
2011,27.9,32.6,22.3,2660.64,10.1,119,0,26,0,0,0
2012,27.6,32.2,22.0,2062.94,10.7,111,0,23,0,0,0
2013,27.6,32.0,21.8,2451.30,11.2,124,0,20,2,0,0
2014,28.2,32.5,24.0,-,10.9,103,0,24,0,0,0
2015,28.7,32.9,22.9,-,10.9,101,1,23,0,0,0
2016,28.2,32.1,22.3,-,11.4,124,0,25,0,0,1
2017,-,-,-,-,-,-,-,-,-,-,-
